,compound,date,neg,neu,pos,source_account,text,tweets_ago
16,-0.6908,2018-29-03 04:26:29,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",16
17,0.0,2018-29-03 04:26:26,0.0,1.0,0.0,@BBCNews,@BBCNews How?,17
18,-0.6908,2018-29-03 04:26:18,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",18
19,0.0,2018-29-03 04:26:09,0.0,1.0,0.0,@BBCNews,@BBCNews @BBCPolitics @BBCr4today https://t.co/CayIONv5Gx,19
20,0.0,2018-29-03 04:25:59,0.0,1.0,0.0,@BBCNews,@BBCNews live in west london this is evident,20
21,0.0,2018-29-03 04:25:58,0.0,1.0,0.0,@BBCNews,RT @joannaccherry: Is it just me or do @BBCNews seem curiously disinterested in the developing #CambridgeAnalytica story? Big evidence sess…,21
22,0.0,2018-29-03 04:25:54,0.0,1.0,0.0,@BBCNews,RT @CrackingLeaders: @BBCNews @BBCNewsbeat @thismorning @cancerrev @DancingTheMind @HTFmedia @SchofeOnWine @hollywills SO frustrating..NHS…,22
23,0.0,2018-29-03 04:25:37,0.0,1.0,0.0,@BBCNews,RT @joannaccherry: Is it just me or do @BBCNews seem curiously disinterested in the developing #CambridgeAnalytica story? Big evidence sess…,23
24,0.0,2018-29-03 04:25:28,0.0,1.0,0.0,@BBCNews,RT @BBCNews: MPs to probe Russian money laundering through UK property https://t.co/fcDkQ6QzYw,24
25,-0.6369,2018-29-03 04:25:18,0.259,0.741,0.0,@BBCNews,RT @BBCNews: FA sex abuse inquiry: Clive Sheldon QC may target clubs https://t.co/6fgVQqG2kj,25
26,0.0,2018-29-03 04:25:16,0.0,1.0,0.0,@BBCNews,RT @BBCNews: We've not got enough beds or staff - NHS bosses https://t.co/Bvfm6XImb8,26
27,0.34,2018-29-03 04:25:11,0.0,0.745,0.255,@BBCNews,RT @BBCNews: Passport officials in security blunder https://t.co/0EbcsQQ6Vm,27
28,0.0,2018-29-03 04:24:57,0.0,1.0,0.0,@BBCNews,@BBCBreaking @BBCNews when you dont hv even food to eat for 2 times a day then u can think wat can happen😣,28
29,-0.6908,2018-29-03 04:24:45,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",29
30,-0.8957,2018-29-03 04:24:45,0.702,0.298,0.0,@BBCNews,RT @BBCNews: Teenager arrested after hoax bomb threat https://t.co/C4lYzSc9iK,30
31,0.0,2018-29-03 04:24:35,0.0,1.0,0.0,@BBCNews,@BBCBreaking @BBCNews #victimsofcommunism,31
32,0.0,2018-29-03 04:24:32,0.0,1.0,0.0,@BBCNews,"RT @JulieOwenMoylan: Someone should tell the @BBCNews there’s been ball tampering in the EU referendum.
They’d be all over it..🙄",32
33,-0.5267,2018-29-03 04:24:07,0.266,0.605,0.129,@BBCNews,@redbham @JoBussey @CIA_AGENT_ @KTHopkins @BBCNews @TheRebelTV Enjoy the sick cult of islam &amp; the pervert prophet c… https://t.co/UlLwp1fxk1,33
34,0.5859,2018-29-03 04:23:45,0.0,0.696,0.304,@BBCNews,Can we please all agree to #BoycottBBC now? @BBC @BBCNews #BoycottBBCLicenseFee #FuckTheBBC… https://t.co/fFIDarNAsW,34
35,-0.6908,2018-29-03 04:23:37,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",35
36,0.0,2018-29-03 04:22:48,0.0,1.0,0.0,@BBCNews,@AsYouNotWish @MamataOfficial @derekobrienmp @RahulGandhi @narendramodi @PMOIndia @HMOIndia @rajnathsingh… https://t.co/itcM4bXnNz,36
37,0.4767,2018-29-03 04:22:25,0.094,0.681,0.226,@BBCNews,Love the update bar running across the screen on @BBCNews  ' * Ghostly galaxy may be missing dark matter' followed… https://t.co/g3KkXmAAus,37
38,-0.7783,2018-29-03 04:21:59,0.694,0.306,0.0,@BBCNews,@BBCNews Fuck of you liar,38
39,-0.3182,2018-29-03 04:21:56,0.108,0.892,0.0,@BBCNews,"@BBCNews Bizarre,  given that, due to writing themselves out of the Law, MPs are not subject to money laundering regulations.",39
40,-0.6908,2018-29-03 04:21:54,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",40
41,-0.4588,2018-29-03 04:21:46,0.231,0.769,0.0,@BBCNews,@BBCBreaking @BBCNews heart breaking to see their non ending economic troubles.,41
42,0.0,2018-29-03 04:21:41,0.0,1.0,0.0,@BBCNews,@BBCNews Says separatist tearing NI and Scotland out the European Union against their will. #Mayhem #UKShambles https://t.co/qLkOEQtPvn,42
43,-0.4005,2018-29-03 04:21:32,0.27,0.73,0.0,@BBCNews,RT @BBCNews: 'Deeply sorry' Christine Shawcroft quits as Labour disputes chief https://t.co/J5agmTRErT,43
44,-0.7003,2018-29-03 04:21:30,0.195,0.805,0.0,@BBCNews,"RT @reb_les: This is where we are at today.
Tommy Robinson is banned from twitter &amp; @SkyNews @BBCNews and other useless MSM are all over it…",44
45,-0.4588,2018-29-03 04:21:24,0.3,0.7,0.0,@BBCNews,RT @BBCNews: Tommy Robinson banned from Twitter https://t.co/zlF1BKVQHV,45
46,0.4767,2018-29-03 04:21:24,0.077,0.737,0.186,@BBCNews,RT @BenPBradshaw: Dear @BBCNews All your trails for tomorrow's #Brexit one year to go special assume a done deal. There's no deal yet &amp; Par…,46
47,0.0,2018-29-03 04:20:48,0.0,1.0,0.0,@BBCNews,RT @BBCNews: We've not got enough beds or staff - NHS bosses https://t.co/Bvfm6XImb8,47
48,0.0,2018-29-03 04:20:35,0.0,1.0,0.0,@BBCNews,RT @BBCNews: MPs to probe Russian money laundering through UK property https://t.co/fcDkQ6QzYw,48
49,-0.6908,2018-29-03 04:19:58,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",49
50,0.0,2018-29-03 04:19:54,0.0,1.0,0.0,@BBCNews,@savagelywriting @campbellclaret @BBCNews You’d rather a dictatorship then?,50
51,0.4939,2018-29-03 04:19:48,0.0,0.842,0.158,@BBCNews,RT @cw4t7abs: @Reuters @davidshepardson Turd with not Nuff battery @BBCWorld @BBCNews @ElonMuskNewsOrg @elonmusk needs to  innovate to real…,51
52,0.25,2018-29-03 04:19:41,0.093,0.772,0.134,@BBCNews,RT @BBCNews: SNP leader in Westminster @IanBlackfordMP asks PM if transparency in political campaign spending is critical to public trust i…,52
53,0.0,2018-29-03 04:19:31,0.0,1.0,0.0,@BBCNews,@WMDivision @KavitaFrary @dtrmcr @NickBoles @BrandonLewis @AndrewRosindell @theresa_may @UKCivilService @BBCNews… https://t.co/aVDimvkR2l,53
54,-0.6908,2018-29-03 04:19:28,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",54
55,0.0,2018-29-03 04:19:26,0.0,1.0,0.0,@BBCNews,@Reuters @davidshepardson Turd with not Nuff battery @BBCWorld @BBCNews @ElonMuskNewsOrg @elonmusk needs to  innova… https://t.co/EsHBSHezPd,55
56,0.4019,2018-29-03 04:19:22,0.0,0.769,0.231,@BBCNews,@MailOnlineVideo @BBCNews @SkyNewsBreak @itvnews @LondonNewsUK @MailOnline If still needed yes,56
57,0.0,2018-29-03 04:19:15,0.0,1.0,0.0,@BBCNews,@sampson_ken @StuartBudd1 @hollowornate @BenPBradshaw @BestForBritain @BBCNews Naaah... we'll do 40 years now. For… https://t.co/fBlmQYVLIr,57
58,0.0,2018-29-03 04:19:13,0.0,1.0,0.0,@BBCNews,@itvmeridian @BBCNews @SkyNewsBreak @itvnews @LondonNewsUK If still needed,58
59,-0.3182,2018-29-03 04:19:07,0.095,0.905,0.0,@BBCNews,"RT @superEUgirl: Hi @BBCNews 
#EUsupergirl has just been made ""Young European of the Year"" for her pro #EU and anti #Brexit campaigning.
I…",59
60,0.0,2018-29-03 04:18:55,0.0,1.0,0.0,@BBCNews,@XKysx @KTHopkins @BBCNews @TheRebelTV Bit too much of a generalisation don’t you think ?,60
61,0.0,2018-29-03 04:18:24,0.0,1.0,0.0,@BBCNews,"@SE25A @StuartBudd1 @sampson_ken @hollowornate @BenPBradshaw @BestForBritain @BBCNews Ken, is it still cold in your bot farm basement?",61
62,-0.6908,2018-29-03 04:18:17,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",62
63,0.5664,2018-29-03 04:17:28,0.0,0.75,0.25,@BBCNews,"RT @StuartBudd1: @sampson_ken @hollowornate @BenPBradshaw @BestForBritain @BBCNews Interestingly, the UK has not lost it's Sovereignty, but…",63
64,0.0,2018-29-03 04:17:17,0.0,1.0,0.0,@BBCNews,RT @CrackingLeaders: @BBCNews @BBCNewsbeat @thismorning @cancerrev @DancingTheMind @HTFmedia @SchofeOnWine @hollywills SO frustrating..NHS…,64
65,0.6369,2018-29-03 04:17:15,0.0,0.781,0.219,@BBCNews,RT @hollowornate: @sampson_ken @BenPBradshaw @BestForBritain @BBCNews I think you may have just perfectly demonstrated why simplistic twats…,65
66,0.0,2018-29-03 04:17:13,0.0,1.0,0.0,@BBCNews,@bpf1953 @JoBussey @CIA_AGENT_ @KTHopkins @BBCNews @TheRebelTV Tag your an in let’s hear it dm he horses mouth if y… https://t.co/dUkL5PuGDn,66
67,-0.6808,2018-29-03 04:16:34,0.259,0.741,0.0,@BBCNews,RT @davidchernaik: @BenPBradshaw @BBCNews One year to stop the stupidest decision any country has made in living memory.,67
68,-0.4005,2018-29-03 04:16:19,0.27,0.73,0.0,@BBCNews,RT @BBCNews: 'Deeply sorry' Christine Shawcroft quits as Labour disputes chief https://t.co/J5agmTRErT,68
69,-0.0772,2018-29-03 04:16:18,0.159,0.697,0.144,@BBCNews,"RT @StuartBudd1: @kate_edmonds_CS @Butsurelynot @BenPBradshaw @g_m_hodgson @BBCNews @CarolineLucas Thanks, just seen it.
Scary stuff.
Can y…",69
70,-0.6249,2018-29-03 04:16:11,0.204,0.796,0.0,@BBCNews,RT @kate_edmonds_CS: @StuartBudd1 @Butsurelynot @BenPBradshaw @g_m_hodgson @BBCNews Have you seen the vile Liz Truss's tweet condemning @Ca…,70
71,0.0,2018-29-03 04:16:06,0.0,1.0,0.0,@BBCNews,RT @StuartBudd1: @Butsurelynot @BenPBradshaw @g_m_hodgson @BBCNews This is very 1984,71
72,0.0,2018-29-03 04:16:05,0.0,1.0,0.0,@BBCNews,"RT @SiemonKlaus: #Catalunya #Catalonia #Llarena
La jueza en Neumünster dice que hay una posibilidad que la orden de detención europea puede…",72
73,0.4019,2018-29-03 04:16:01,0.0,0.87,0.13,@BBCNews,"RT @Butsurelynot: @BenPBradshaw @g_m_hodgson @BBCNews Yes. The BBC have emailed their online subscribers too, reminding them of the inevita…",73
74,-0.0431,2018-29-03 04:15:59,0.107,0.793,0.1,@BBCNews,"RT @lesbonner: RT @spaceangel1964: ** URGENT ACTION **
BBC seems to have a blind spot when it comes to reporting any #StopBrexit protests,…",74
75,0.0,2018-29-03 04:15:57,0.0,1.0,0.0,@BBCNews,@BBCNews 😂😂😂#PutinsRoubles https://t.co/bXSUVqGLc1,75
76,0.0,2018-29-03 04:15:56,0.0,1.0,0.0,@BBCNews,@bpf1953 @JoBussey @CIA_AGENT_ @KTHopkins @BBCNews @TheRebelTV Bollocks you made that up 😂😂😂care to mention which a… https://t.co/mypiTPlmtA,76
77,-0.2023,2018-29-03 04:15:10,0.141,0.859,0.0,@BBCNews,RT @martinpiracy: @BenPBradshaw @BBCNews Indeed. Time to get complaining. See attached. https://t.co/rwjELiTy7A,77
78,-0.0431,2018-29-03 04:15:00,0.111,0.784,0.105,@BBCNews,"RT @spaceangel1964: ** URGENT ACTION **
BBC seems to have a blind spot when it comes to reporting any #StopBrexit p… https://t.co/vmiS1SB8LP",78
79,-0.6908,2018-29-03 04:14:46,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",79
80,-0.1154,2018-29-03 04:14:28,0.075,0.925,0.0,@BBCNews,RT @JoBussey: @CIA_AGENT_ @bpf1953 @KTHopkins @BBCNews @TheRebelTV I know we're limited in characters but that tweet is incoherent. You rea…,80
81,0.8641,2018-29-03 04:14:11,0.0,0.624,0.376,@BBCNews,RT @JoBussey: @bpf1953 @CIA_AGENT_ @KTHopkins @BBCNews @TheRebelTV Thanks for your concern but we're good thanks. Despite what @KTHopkins w…,81
82,-0.6908,2018-29-03 04:13:54,0.17,0.83,0.0,@BBCNews,"RT @KTHopkins: If 100 Pakistani Muslim men rape our children the @BBCNews uses the term “Asian” - throwing Sikhs, India &amp; half of Taiwan un…",82
83,0.2732,2018-29-03 04:13:43,0.0,0.896,0.104,@BBCNews,RT @JoBussey: @bpf1953 @CIA_AGENT_ @KTHopkins @BBCNews @TheRebelTV UK conservatives are not conservative by US standards agreed. They are e…,83
84,-0.25,2018-29-03 04:13:23,0.154,0.732,0.114,@BBCNews,"RT @stevenjbarnett: Aussie ball tampering gets the full 2 minute package on @BBCNews.

Astounding allegations of electoral fraud in the UK'…",84
85,0.6908,2018-29-03 04:13:22,0.0,0.769,0.231,@BBCNews,"RT @OldGittyBloke: @BenPBradshaw @eagleowl123 @BBCNews Ben, I dearly hope you are still a political force when it comes time to bring the B…",85
86,0.0,2018-29-03 04:13:18,0.0,1.0,0.0,@BBCNews,"RT @JoBussey: @bpf1953 @KTHopkins @BBCNews @TheRebelTV Err, we’ve had a conservative government since 2010.",86
87,-0.8957,2018-29-03 04:13:07,0.702,0.298,0.0,@BBCNews,RT @BBCNews: Teenager arrested after hoax bomb threat https://t.co/C4lYzSc9iK,87
88,0.3818,2018-29-03 04:13:04,0.0,0.885,0.115,@BBCNews,RT @andy_n2000: @BenPBradshaw @BBCNews @BBCR4Feedback   Another example why it is clear that @BBCnews is pro Brexit when it should be impar…,88
89,-0.0516,2018-29-03 04:12:57,0.048,0.952,0.0,@BBCNews,RT @UKWeaver: @BenPBradshaw @BBCNews If nothing happens in one year we leave the EU. The only way that doesn't happen is if 28 country agre…,89
90,-0.4019,2018-29-03 04:12:30,0.13,0.87,0.0,@BBCNews,RT @elise_tallaron: @BenPBradshaw @BestForBritain @BBCNews Complained to BBC about absence of coverage of the Marches for Europe. Their res…,90
91,0.4215,2018-29-03 04:11:39,0.0,0.865,0.135,@BBCNews,@BBCNews that article will show why im against hummanitarian work also from the united nations humanutarians that w… https://t.co/P9aK7lVs2c,91
92,0.0,2018-29-03 04:11:32,0.0,1.0,0.0,@BBCNews,"RT @NewPlasticsEcon: Deposit return schemes were one of the tactics mentioned in our Rethinking Plastics report, which highlighted the need…",92
93,0.3818,2018-29-03 04:11:13,0.0,0.885,0.115,@BBCNews,RT @VeroVero777: @DameWritesalot @BenPBradshaw @BBCNews I was brought up on the integrity of the Beeb. I always think of the people of Euro…,93
94,-0.7096,2018-29-03 04:11:10,0.29,0.71,0.0,@BBCNews,RT @BBCNews: John Worboys: Court to rule on black cab rapist release https://t.co/XTdtpkZsw6,94
95,0.0,2018-29-03 04:11:08,0.0,1.0,0.0,@BBCNews,RT @joannaccherry: Is it just me or do @BBCNews seem curiously disinterested in the developing #CambridgeAnalytica story? Big evidence sess…,95
96,0.0,2018-29-03 04:10:33,0.0,1.0,0.0,@BBCNews,RT @atmphillips: @ChristopherJor5 @Remain_Labour @BenPBradshaw @BBCNews @EmilyThornberry It's the Labour leadership's position. Many Labour…,96
97,0.34,2018-29-03 04:10:25,0.056,0.833,0.111,@BBCNews,"RT @Siemens: #AI, #BigData &amp; #Cloud technologies are improving our world in countless ways. But not only the article from @BBCNews warns: h…",97
98,0.0,2018-29-03 04:10:24,0.0,1.0,0.0,@BBCNews,RT @eloisetodd: Sticky tape in the pocket of a cricketer throwing one match still bigger news on @BBCRadio4  @BBCNews than sticky tape in t…,98
99,0.0,2018-29-03 04:10:11,0.0,1.0,0.0,@BBCNews,RT @ChristopherJor5: @BenPBradshaw @Remain_Labour @BBCNews Can you comment on this story that @EmilyThornberry said Labour will probably vo…,99
0,0.5574,2018-29-03 04:32:50,0.0,0.87,0.13,@CBSNews,"RT @CBSNews: Linda Brown, who as a third grade student was at the center of the 1954 Brown v. Board of Education Supreme Court decision tha…",0
1,0.0,2018-29-03 04:32:48,0.0,1.0,0.0,@CBSNews,@AnthemRespect @FranBarreraReal @RealErinCruz To: @latimes @CnnEspaol @TelemundoIntl @UniNoticias @BfertTaskforce… https://t.co/h2RR5QFnFT,1
2,-0.3412,2018-29-03 04:32:44,0.179,0.821,0.0,@CBSNews,"@CBSNews Doesn't look good, manafort. He is getting schooled on north korea.",2
3,0.4939,2018-29-03 04:32:31,0.0,0.862,0.138,@CBSNews,"RT @adrianasdiaz: On @CBSThisMorning: Inspired by Selma march, teens walking 50 MILES to Paul Ryan’s hometown. 
Their chant: “Paul Ryan, ca…",3
4,0.0,2018-29-03 04:32:23,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,4
5,0.0,2018-29-03 04:32:21,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,5
6,0.0,2018-29-03 04:32:19,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,6
7,-0.2003,2018-29-03 04:32:09,0.107,0.893,0.0,@CBSNews,"RT @ExpectoResister: Look who got grounded! 

Ecuador's government cutting off WikiLeaks founder Julian Assange's communications https://t.…",7
8,0.0,2018-29-03 04:32:09,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,8
9,0.7351,2018-29-03 04:32:08,0.0,0.721,0.279,@CBSNews,"Great article. CBS News has moved well ahead of the other MSM in balanced news coverage. @CBSNews 
 https://t.co/swaUdqR65S",9
10,-0.0258,2018-29-03 04:31:57,0.127,0.751,0.122,@CBSNews,The budget deal will add billions to the deficit. What are the benefits ... https://t.co/XRpEJdHvBn via @YouTube… https://t.co/N5Xu0WbGV6,10
11,0.5859,2018-29-03 04:31:55,0.0,0.678,0.322,@CBSNews,@ExpectoResister @Cmm09672 @CBSNews and there was much rejoicing https://t.co/pPNarrGbHz,11
12,0.5106,2018-29-03 04:31:53,0.0,0.798,0.202,@CBSNews,RT @CBSNews: Fabiano Caruana has become the 1st American since Bobby Fischer to reach World Chess Championships. https://t.co/yrBbOKIgZI ht…,12
13,-0.6908,2018-29-03 04:31:44,0.388,0.612,0.0,@CBSNews,"@rhaley1960 @CBSThisMorning @CBSNews @50milesmore You’re a nasty piece of work , @rhaley1960. 

Blocked.",13
14,-0.7597,2018-29-03 04:31:44,0.62,0.38,0.0,@CBSNews,@CBSNews Blame OBAMA'S FAKE BIRTH RECORD!,14
15,0.6808,2018-29-03 04:31:29,0.184,0.468,0.348,@CBSNews,"RT @CBSNews: A boy with down syndrome who is a cancer survivor had his wish fulfilled when Pope Francis stopped his popemobile, blessed him…",15
16,0.0,2018-29-03 04:31:26,0.0,1.0,0.0,@CBSNews,"RT @CBSNews: HAPPENING NOW: Students arrive in House Speaker Paul Ryan’s hometown Janesville, Wisconsin, after marching 50 miles to demand…",16
17,0.0,2018-29-03 04:31:26,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,17
18,-0.2003,2018-29-03 04:31:16,0.107,0.893,0.0,@CBSNews,"RT @ExpectoResister: Look who got grounded! 

Ecuador's government cutting off WikiLeaks founder Julian Assange's communications https://t.…",18
19,0.0,2018-29-03 04:31:15,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,19
20,0.0,2018-29-03 04:31:15,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,20
21,-0.6486,2018-29-03 04:31:10,0.249,0.751,0.0,@CBSNews,"RT @CBSNews: 1 dead at BMW Manufacturing plant in South Carolina, coroner says https://t.co/fpwtQwqN8j https://t.co/zWYf7Oxgdu",21
22,0.128,2018-29-03 04:30:48,0.148,0.671,0.181,@CBSNews,Missing soldier needs our help.  @ABC @nytimes @BostonGlobe @theobserver @NBCNewYork @CBSNews https://t.co/28REhBy993,22
23,0.0,2018-29-03 04:30:47,0.0,1.0,0.0,@CBSNews,@Kimster78 @deb_colomb @CBSNews I’m not the hooker,23
24,0.4939,2018-29-03 04:30:43,0.0,0.862,0.138,@CBSNews,"RT @adrianasdiaz: On @CBSThisMorning: Inspired by Selma march, teens walking 50 MILES to Paul Ryan’s hometown. 
Their chant: “Paul Ryan, ca…",24
25,-0.5574,2018-29-03 04:30:31,0.247,0.753,0.0,@CBSNews,RT @CBSNews: Howard University says 6 were fired for misappropriating funds https://t.co/wWLKpg9u2x https://t.co/DK6hz7GlUd,25
26,0.0,2018-29-03 04:30:20,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,26
27,0.7003,2018-29-03 04:30:19,0.0,0.734,0.266,@CBSNews,RT @CBSNews: Special counsel Robert Mueller revealed a link between the Trump campaign and Russian intelligence. @PaulaReidCBS reporting. h…,27
28,-0.5267,2018-29-03 04:30:09,0.459,0.541,0.0,@CBSNews,@jamisnHemphill @deb_colomb @CBSNews You’re disgusting,28
29,-0.5994,2018-29-03 04:29:39,0.151,0.849,0.0,@CBSNews,"RT @CBSNews: In the wake of the shooting death of Stephon Clark by Sacramento police, the city's mayor said Wednesday that ""implied racism""…",29
30,0.4588,2018-29-03 04:29:33,0.0,0.87,0.13,@CBSNews,RT @CBSNews: Air Force pilot captured breathtaking images of the northern lights as he flew across the sky in Canada. https://t.co/IhU5YSiJ…,30
31,-0.6908,2018-29-03 04:29:16,0.32,0.68,0.0,@CBSNews,@CBSNews Is he any different from cops that kill unarmed civillians?,31
32,0.0,2018-29-03 04:29:08,0.0,1.0,0.0,@CBSNews,"RT @CBSNews: ""As the sheriff pockets tax dollars, the median income in Etowah County is $40,000,"" CBS News' Mark Strassman reports on Alaba…",32
33,-0.5574,2018-29-03 04:29:03,0.247,0.753,0.0,@CBSNews,RT @CBSNews: Howard University says 6 were fired for misappropriating funds https://t.co/wWLKpg9u2x https://t.co/DK6hz7GlUd,33
34,-0.5574,2018-29-03 04:28:51,0.247,0.753,0.0,@CBSNews,RT @CBSNews: Howard University says 6 were fired for misappropriating funds https://t.co/wWLKpg9u2x https://t.co/DK6hz7GlUd,34
35,0.0,2018-29-03 04:28:43,0.0,1.0,0.0,@CBSNews,RT @CBSNews: 2 airline pilots report seeing UFO while flying over Arizona https://t.co/vwYBvFnnrp https://t.co/M0SYyMVxay,35
36,0.0,2018-29-03 04:28:16,0.0,1.0,0.0,@CBSNews,"RT @CBSNews: Stormy Daniels' lawyer Michael Avenatti files motion in California federal court, seeking to depose President Trump and his la…",36
37,-0.1531,2018-29-03 04:28:12,0.078,0.922,0.0,@CBSNews,"RT @CBSNews: A 19,000-pound space station is falling toward Earth and scientists project it may land sometime between Saturday and Monday,…",37
38,-0.6486,2018-29-03 04:28:08,0.249,0.751,0.0,@CBSNews,"RT @CBSNews: 1 dead at BMW Manufacturing plant in South Carolina, coroner says https://t.co/fpwtQwqN8j https://t.co/zWYf7Oxgdu",38
